Sort 1
Sort 1,9035,84
,8355,54
,8890,64
,5527,23
,174,0
,5786,26
,5315,23
,2856,7
,6068,33
,6182,31
,9409,88
,8526,70
,4909,24
,6904,52
,9807,101
,1956,3
,2163,4
,738,0
,509,0
,2656,6
,1947,4
,494,0
,5879,34
,2746,6
,4235,16
,4698,20
,9090,77
,4420,19
,2901,7
,8052,56
,9890,84
,699,0
,3009,7
,8925,70
,1226,1
,201,0
,2746,6
,2173,3
,4411,16
,2259,4
,5503,25
,9444,76
,5085,21
,278,0
,2953,7
,1400,1
,1419,1
,3081,8
,7947,53
,1600,2
,7320,45
,8559,63
,3845,12
,2684,6
,784,0
,4987,24
,5764,29
,7326,46
,3338,9
,3776,11
,3444,9
,8633,62
,3193,8
,6757,37
,37,0
,4212,14
,2082,3
,7153,42
,4139,14
,2587,5
,6839,39
,2424,4
,5471,24
,6419,35
,7090,57
,9058,70
,2579,6
,9848,80
,7518,46
,3684,12
,8147,56
,85,0
,9854,83
,5118,21
,2455,5
,6974,42
,7505,48
,8672,65
,3765,11
,6157,33
,9005,68
,8361,59
,6819,39
,1592,2
,5976,30
,5598,26
,1594,2
,3467,10
,2214,4
,5764,28
,3558,10
,5096,22
,7165,44
,9770,82
,698,0
,5655,26
,5636,28
,5461,25
,6032,31
,4667,18
,8394,58
,3401,9
,478,0
,4404,16
,4611,17
,8321,60
,2148,4
,666,0
,476,0
,3804,12
,5074,21
,7164,43
,8832,66
,7668,50
,6471,36
,2901,7
,8259,61
,9452,74
,5508,25
,2519,5
,571,0
,997,0
,9150,71
,3063,8
,8383,58
,2909,6
,7970,55
,6357,34
,5960,31
,9589,77
,3636,11
,8615,62
,5028,21
,8429,59
,7680,47
,6017,31
,3513,10
,6894,41
,1713,2
,9746,79
,486,0
,2819,6
,1407,1
,3822,12
,7829,53
,9493,79
,9715,81
,1588,2
,3693,11
,8642,62
,470,0
,1163,1
,8852,64
,2297,4
,8696,63
,5582,27
,3250,9
,5221,27
,413,0
,9505,82
,1776,2
,2932,7
,9490,78
,2590,5
,7504,50
