Sort 1,,,,,,,,,,
Sort 1,14,64,,Data Size,Average Exchanges,,Shell Sort,Shell Sort,Quick Sort,Insertion Sort
,1818,828592,,,,,,,,
,1820,805402,,,,,,,,
,1859,869972,,,,,,,,
,1861,865793,,,,,,,,
,1861,850487,,,,,,,,
,1868,874056,,,,,,,,
,1872,866379,,,,,,,,
,1874,860477,,,,,,,,
,1875,879316,,,,,,,,
,1895,898364,,,,,,,,
,1912,919314,,,,,,,,
,1944,917325,,,,,,,,
,1947,954531,,,,,,,,
,1956,970544,,,,,,,,
,1963,951203,,,,,,,,
,1986,982268,,,,,,,,
,1987,976789,,,,,,,,
,1990,973792,,,,,,,,
,1993,997334,,,,,,,,
,2002,985955,,,,,,,,
,2019,987869,,,,,,,,
,2037,997513,,,,,,,,
,2055,1040468,,,,,,,,
,2063,1037885,,,,,,,,
,2082,1074679,,,,,,,,
,2088,1070714,,,,,,,,
,2103,1104242,,,,,,,,
,2106,1091678,,,,,,,,
,2125,1123104,,,,,,,,
,2130,1102590,,,,,,,,
,2132,1160350,,,,,,,,
,2147,1117914,,,,,,,,
,2148,1161494,,,,,,,,
,2154,1167081,,,,,,,,
,2163,1184525,,,,,,,,
,2173,1169283,,,,,,,,
,2182,1202608,,,,,,,,
,2187,1217793,,,,,,,,
,2206,1187240,,,,,,,,
,2207,1219910,,,,,,,,
,2207,1193308,,,,,,,,
,2208,1205835,,,,,,,,
,2214,1213355,,,,,,,,
,2237,1230140,,,,,,,,
,2240,1241428,,,,,,,,
,2240,1209843,,,,,,,,
,2254,1240775,,,,,,,,
,2259,1263022,,,,,,,,
,2289,1277728,,,,,,,,
,2297,1282694,,,,,,,,
,2300,1289086,,,,,,,,
,2308,1295718,,,,,,,,
,2310,1282359,,,,,,,,
,2347,1364813,,,,,,,,
,2358,1388500,,,,,,,,
,2372,1374918,,,,,,,,
,2402,1437026,,,,,,,,
,2404,1419215,,,,,,,,
,2406,1476382,,,,,,,,
,2409,1421715,,,,,,,,
,2417,1428088,,,,,,,,
,2424,1477868,,,,,,,,
,2455,1459898,,,,,,,,
,2458,1538021,,,,,,,,
,2468,1494322,,,,,,,,
,2486,1551241,,,,,,,,
,2490,1518065,,,,,,,,
,2494,1560151,,,,,,,,
,2517,1570733,,,,,,,,
,2519,1618137,,,,,,,,
,2534,1597881,,,,,,,,
,2540,1629074,,,,,,,,
,2547,1622796,,,,,,,,
,2568,1621373,,,,,,,,
,2575,1628447,,,,,,,,
,2578,1605816,,,,,,,,
,2579,1660847,,,,,,,,
,2585,1659804,,,,,,,,
,2585,1644662,,,,,,,,
,2587,1627219,,,,,,,,
,2590,1638383,,,,,,,,
,2613,1674793,,,,,,,,
,2614,1687193,,,,,,,,
,2628,1719319,,,,,,,,
,2649,1718865,,,,,,,,
,2656,1762241,,,,,,,,
,2670,1753586,,,,,,,,
,2683,1771538,,,,,,,,
,2683,1801521,,,,,,,,
,2684,1816209,,,,,,,,
,2717,1865562,,,,,,,,
,2737,1889980,,,,,,,,
,2746,1863220,,,,,,,,
,2746,1859020,,,,,,,,
,2769,1914220,,,,,,,,
,2775,1945716,,,,,,,,
,2792,1911292,,,,,,,,
,2819,2000857,,,,,,,,
,2831,2023184,,,,,,,,
,2834,1978018,,,,,,,,
,2856,2040044,,,,,,,,
,2865,2025458,,,,,,,,
,2865,2025378,,,,,,,,
,2891,2046094,,,,,,,,
,2901,2093614,,,,,,,,
,2901,2127549,,,,,,,,
,2909,2080496,,,,,,,,
,2912,2113730,,,,,,,,
,2923,2126670,,,,,,,,
,2932,2140097,,,,,,,,
,2953,2172436,,,,,,,,
,2988,2185144,,,,,,,,
,3003,2213310,,,,,,,,
,3009,2190712,,,,,,,,
,3038,2380043,,,,,,,,
,3052,2348393,,,,,,,,
