Sort 1,,,,,,,,Data Size,Average Comparisons,,,,Shell Sort,Quick Sort,Insertion Sort
,6620,10759396,,,,,,,,,,,,,
,6621,10925754,,,,,,,,,,,,,
,6658,10901250,,,,,,,,,,,,,
,6668,10960285,,,,,,,,,,,,,
,6672,10874120,,,,,,,,,,,,,
,6673,11012500,,,,,,,,,,,,,
,6701,11086343,,,,,,,,,,,,,
,6711,11254567,,,,,,,,,,,,,
,6726,11135920,,,,,,,,,,,,,
,6757,11210457,,,,,,,,,,,,,
,6762,11262656,,,,,,,,,,,,,
,6774,11334278,,,,,,,,,,,,,
,6793,11329187,,,,,,,,,,,,,
,6801,11372136,,,,,,,,,,,,,
,6819,11602672,,,,,,,,,,,,,
,6820,11535500,,,,,,,,,,,,,
,6828,11487583,,,,,,,,,,,,,
,6839,11494233,,,,,,,,,,,,,
,6849,11465900,,,,,,,,,,,,,
,6849,11630432,,,,,,,,,,,,,
,6861,11837267,,,,,,,,,,,,,
,6863,11426285,,,,,,,,,,,,,
,6878,11624468,,,,,,,,,,,,,
,6893,11839885,,,,,,,,,,,,,
,6894,11800662,,,,,,,,,,,,,
,6903,11675479,,,,,,,,,,,,,
,6904,11686696,,,,,,,,,,,,,
,6928,11817796,,,,,,,,,,,,,
,6935,11916003,,,,,,,,,,,,,
,6939,11934932,,,,,,,,,,,,,
,6956,11963653,,,,,,,,,,,,,
,6957,11933327,,,,,,,,,,,,,
,6962,12181425,,,,,,,,,,,,,
,6974,11971056,,,,,,,,,,,,,
,6975,11794203,,,,,,,,,,,,,
,7013,12198170,,,,,,,,,,,,,
,7021,11965726,,,,,,,,,,,,,
,7029,12258147,,,,,,,,,,,,,
,7033,12021059,,,,,,,,,,,,,
,7039,12263355,,,,,,,,,,,,,
,7061,12408686,,,,,,,,,,,,,
,7069,12701514,,,,,,,,,,,,,
,7070,12339805,,,,,,,,,,,,,
,7072,12278644,,,,,,,,,,,,,
,7080,12398125,,,,,,,,,,,,,
,7089,12371356,,,,,,,,,,,,,
,7090,12435449,,,,,,,,,,,,,
,7094,12481741,,,,,,,,,,,,,
,7102,12526924,,,,,,,,,,,,,
,7134,12585125,,,,,,,,,,,,,
,7136,12583437,,,,,,,,,,,,,
,7153,12577475,,,,,,,,,,,,,
,7163,12656421,,,,,,,,,,,,,
,7164,12601439,,,,,,,,,,,,,
,7165,12680927,,,,,,,,,,,,,
,7167,12791736,,,,,,,,,,,,,
,7182,12814443,,,,,,,,,,,,,
,7184,12790190,,,,,,,,,,,,,
,7187,12840287,,,,,,,,,,,,,
,7193,12865682,,,,,,,,,,,,,
,7206,12753268,,,,,,,,,,,,,
,7216,12898267,,,,,,,,,,,,,
,7226,12953148,,,,,,,,,,,,,
,7227,12764730,,,,,,,,,,,,,
,7235,12692173,,,,,,,,,,,,,
,7271,13110454,,,,,,,,,,,,,
,7273,13095653,,,,,,,,,,,,,
,7282,13096569,,,,,,,,,,,,,
,7285,13242850,,,,,,,,,,,,,
,7291,13115359,,,,,,,,,,,,,
,7293,13157390,,,,,,,,,,,,,
,7306,13316736,,,,,,,,,,,,,
,7309,13370231,,,,,,,,,,,,,
,7320,13175761,,,,,,,,,,,,,
,7326,13257787,,,,,,,,,,,,,
,7344,13306688,,,,,,,,,,,,,
,7360,13389549,,,,,,,,,,,,,
,7368,13469491,,,,,,,,,,,,,
,7379,13314377,,,,,,,,,,,,,
,7379,13486239,,,,,,,,,,,,,
,7381,13515108,,,,,,,,,,,,,
,7389,13537521,,,,,,,,,,,,,
,7400,13629564,,,,,,,,,,,,,
,7417,13782592,,,,,,,,,,,,,
,7418,13587863,,,,,,,,,,,,,
,7420,13684524,,,,,,,,,,,,,
,7430,13707429,,,,,,,,,,,,,
,7431,13471060,,,,,,,,,,,,,
,7431,13548002,,,,,,,,,,,,,
,7443,13609406,,,,,,,,,,,,,
,7452,13754676,,,,,,,,,,,,,
,7463,13658148,,,,,,,,,,,,,
,7485,13858002,,,,,,,,,,,,,
,7486,13984640,,,,,,,,,,,,,
,7487,13677213,,,,,,,,,,,,,
,7501,13820576,,,,,,,,,,,,,
,7504,13915574,,,,,,,,,,,,,
,7505,13829111,,,,,,,,,,,,,
,7507,13948495,,,,,,,,,,,,,
,7510,13938691,,,,,,,,,,,,,
,7518,13945503,,,,,,,,,,,,,
,7521,13707810,,,,,,,,,,,,,
,7527,14035084,,,,,,,,,,,,,
,7529,14183619,,,,,,,,,,,,,
,7533,13969106,,,,,,,,,,,,,
,7555,14026211,,,,,,,,,,,,,
,7561,14146784,,,,,,,,,,,,,
,7561,13920886,,,,,,,,,,,,,
,7572,14085523,,,,,,,,,,,,,
,7589,14208545,,,,,,,,,,,,,
,7589,14122954,,,,,,,,,,,,,
,7592,14442750,,,,,,,,,,,,,
,7593,14346375,,,,,,,,,,,,,
,7604,14380272,,,,,,,,,,,,,
,7615,14302473,,,,,,,,,,,,,
,7620,14325564,,,,,,,,,,,,,
,7624,14327756,,,,,,,,,,,,,
,7633,14438546,,,,,,,,,,,,,
,7666,14606894,,,,,,,,,,,,,
,7668,14667350,,,,,,,,,,,,,
,7668,14722744,,,,,,,,,,,,,
,7671,14430768,,,,,,,,,,,,,
,7680,14340509,,,,,,,,,,,,,
,7688,14650850,,,,,,,,,,,,,
,7705,14557108,,,,,,,,,,,,,
,7713,14817464,,,,,,,,,,,,,
,7713,14603923,,,,,,,,,,,,,
,7717,14741462,,,,,,,,,,,,,
,7724,14834735,,,,,,,,,,,,,
,7735,14929170,,,,,,,,,,,,,
,7746,14842748,,,,,,,,,,,,,
,7750,14807811,,,,,,,,,,,,,
,7761,14915557,,,,,,,,,,,,,
,7761,15087524,,,,,,,,,,,,,
,7782,14939341,,,,,,,,,,,,,
,7788,14975280,,,,,,,,,,,,,
,7796,15288547,,,,,,,,,,,,,
,7802,15046096,,,,,,,,,,,,,
,7802,15084988,,,,,,,,,,,,,
,7829,15367183,,,,,,,,,,,,,
,7830,15131417,,,,,,,,,,,,,
,7862,15394308,,,,,,,,,,,,,
,7878,15451210,,,,,,,,,,,,,
,7898,15219089,,,,,,,,,,,,,
,7911,15468692,,,,,,,,,,,,,
,7913,15392726,,,,,,,,,,,,,
,7945,15395882,,,,,,,,,,,,,
,7947,15585441,,,,,,,,,,,,,
,7966,15776108,,,,,,,,,,,,,
,7970,15960581,,,,,,,,,,,,,
,7987,15745497,,,,,,,,,,,,,
,7997,15530731,,,,,,,,,,,,,
,7998,15795650,,,,,,,,,,,,,
,8008,15948525,,,,,,,,,,,,,
,8018,15878370,,,,,,,,,,,,,
,8030,16011772,,,,,,,,,,,,,
,8052,15909232,,,,,,,,,,,,,
,8064,16071382,,,,,,,,,,,,,
,8071,16172106,,,,,,,,,,,,,
,8080,15993997,,,,,,,,,,,,,
,8103,16130913,,,,,,,,,,,,,
,8106,16214933,,,,,,,,,,,,,
,8110,16143929,,,,,,,,,,,,,
,8144,16359728,,,,,,,,,,,,,
,8144,16660056,,,,,,,,,,,,,
,8145,16501554,,,,,,,,,,,,,
,8147,16284924,,,,,,,,,,,,,
,8167,16352345,,,,,,,,,,,,,
,8167,16398672,,,,,,,,,,,,,
,8176,16703099,,,,,,,,,,,,,
,8193,16516156,,,,,,,,,,,,,
,8195,16477727,,,,,,,,,,,,,
,8196,16645698,,,,,,,,,,,,,
,8207,16682609,,,,,,,,,,,,,
,8215,16688456,,,,,,,,,,,,,
,8242,17086481,,,,,,,,,,,,,
,8255,16779754,,,,,,,,,,,,,
,8259,17137478,,,,,,,,,,,,,
,8260,16913465,,,,,,,,,,,,,
,8269,16789061,,,,,,,,,,,,,
,8288,17118018,,,,,,,,,,,,,
,8303,17036318,,,,,,,,,,,,,
,8314,17205311,,,,,,,,,,,,,
,8314,17339862,,,,,,,,,,,,,
,8321,17060209,,,,,,,,,,,,,
,8355,17237978,,,,,,,,,,,,,
,8358,17236177,,,,,,,,,,,,,
,8361,17336056,,,,,,,,,,,,,
,8364,17214461,,,,,,,,,,,,,
,8369,17300996,,,,,,,,,,,,,
,8370,17211740,,,,,,,,,,,,,
,8383,17285325,,,,,,,,,,,,,
,8387,17461445,,,,,,,,,,,,,
,8388,17421819,,,,,,,,,,,,,
,8394,17477236,,,,,,,,,,,,,
,8398,17385043,,,,,,,,,,,,,
,8407,17427029,,,,,,,,,,,,,
,8416,17688863,,,,,,,,,,,,,
,8424,17749872,,,,,,,,,,,,,
,8429,17490955,,,,,,,,,,,,,
,8433,17632160,,,,,,,,,,,,,
,8437,17725760,,,,,,,,,,,,,
,8440,17506494,,,,,,,,,,,,,
,8447,17793776,,,,,,,,,,,,,
,8466,17921094,,,,,,,,,,,,,
,8485,17560345,,,,,,,,,,,,,
,8502,17700500,,,,,,,,,,,,,
,8526,18092392,,,,,,,,,,,,,
,8545,18023876,,,,,,,,,,,,,
,8559,18033520,,,,,,,,,,,,,
,8577,18259056,,,,,,,,,,,,,
,8589,18031044,,,,,,,,,,,,,
,8596,18179520,,,,,,,,,,,,,
,8604,18403335,,,,,,,,,,,,,
,8615,18077076,,,,,,,,,,,,,
,8633,18628371,,,,,,,,,,,,,
,8642,18365373,,,,,,,,,,,,,
,8655,18528396,,,,,,,,,,,,,
,8656,18601070,,,,,,,,,,,,,
,8659,18537413,,,,,,,,,,,,,
,8672,18526220,,,,,,,,,,,,,
,8694,19025860,,,,,,,,,,,,,
,8696,18720461,,,,,,,,,,,,,
,8697,18615677,,,,,,,,,,,,,
,8707,18480281,,,,,,,,,,,,,
,8709,18717364,,,,,,,,,,,,,
,8714,18783541,,,,,,,,,,,,,
,8731,18788179,,,,,,,,,,,,,
,8757,18949510,,,,,,,,,,,,,
,8757,18781655,,,,,,,,,,,,,
,8779,18973378,,,,,,,,,,,,,
,8781,19054090,,,,,,,,,,,,,
,8782,19081970,,,,,,,,,,,,,
,8795,19261796,,,,,,,,,,,,,
,8815,19353041,,,,,,,,,,,,,
,8822,19335154,,,,,,,,,,,,,
,8832,19255614,,,,,,,,,,,,,
,8852,19373972,,,,,,,,,,,,,
,8856,19251594,,,,,,,,,,,,,
,8890,19519131,,,,,,,,,,,,,
,8919,19741345,,,,,,,,,,,,,
,8925,19718473,,,,,,,,,,,,,
,8928,19691821,,,,,,,,,,,,,
,8936,19794053,,,,,,,,,,,,,
,8944,19907661,,,,,,,,,,,,,
,8944,19483463,,,,,,,,,,,,,
,8972,19728929,,,,,,,,,,,,,
,8976,20288595,,,,,,,,,,,,,
,8991,19897330,,,,,,,,,,,,,
,9005,19876598,,,,,,,,,,,,,
,9005,20063637,,,,,,,,,,,,,
,9012,20148123,,,,,,,,,,,,,
,9033,20579369,,,,,,,,,,,,,
,9034,20036214,,,,,,,,,,,,,
Sort 1+A2:C1001,9035,20168138,,,,,,,,,,,,,
,9043,20254939,,,,,,,,,,,,,
,9048,20200359,,,,,,,,,,,,,
,9050,20415950,,,,,,,,,,,,,
,9058,20320597,,,,,,,,,,,,,
,9080,20361376,,,,,,,,,,,,,
,9083,20517801,,,,,,,,,,,,,
,9089,20670067,,,,,,,,,,,,,
,9090,20274805,,,,,,,,,,,,,
,9094,20498089,,,,,,,,,,,,,
,9111,20557119,,,,,,,,,,,,,
,9115,20612779,,,,,,,,,,,,,
,9119,20413561,,,,,,,,,,,,,
,9126,20624689,,,,,,,,,,,,,
,9128,20497366,,,,,,,,,,,,,
,9143,20482995,,,,,,,,,,,,,
,9143,20693463,,,,,,,,,,,,,
,9150,20825523,,,,,,,,,,,,,
,9159,20717529,,,,,,,,,,,,,
,9161,20731623,,,,,,,,,,,,,
,9166,20860513,,,,,,,,,,,,,
,9178,20777758,,,,,,,,,,,,,
,9230,21134634,,,,,,,,,,,,,
,9266,21121917,,,,,,,,,,,,,
,9269,21253509,,,,,,,,,,,,,
,9288,21564194,,,,,,,,,,,,,
,9290,21364257,,,,,,,,,,,,,
,9307,21647658,,,,,,,,,,,,,
,9331,21683188,,,,,,,,,,,,,
,9340,21634234,,,,,,,,,,,,,
,9358,21722659,,,,,,,,,,,,,
,9367,21603251,,,,,,,,,,,,,
,9381,21816447,,,,,,,,,,,,,
,9383,21719593,,,,,,,,,,,,,
,9385,21988218,,,,,,,,,,,,,
,9409,22214265,,,,,,,,,,,,,
,9440,22021513,,,,,,,,,,,,,
,9444,22099917,,,,,,,,,,,,,
,9446,22038465,,,,,,,,,,,,,
,9447,22156913,,,,,,,,,,,,,
,9452,21974639,,,,,,,,,,,,,
,9455,22074718,,,,,,,,,,,,,
,9490,22327694,,,,,,,,,,,,,
,9492,21944601,,,,,,,,,,,,,
,9493,22446792,,,,,,,,,,,,,
,9504,22163796,,,,,,,,,,,,,
,9505,22650167,,,,,,,,,,,,,
,9507,22410843,,,,,,,,,,,,,
,9510,22439989,,,,,,,,,,,,,
,9511,22291464,,,,,,,,,,,,,
,9517,22544199,,,,,,,,,,,,,
,9526,22302085,,,,,,,,,,,,,
,9559,22463604,,,,,,,,,,,,,
,9560,22641728,,,,,,,,,,,,,
,9566,22543288,,,,,,,,,,,,,
,9583,22770227,,,,,,,,,,,,,
,9589,22806028,,,,,,,,,,,,,
,9594,22867797,,,,,,,,,,,,,
,9599,22747126,,,,,,,,,,,,,
,9607,22734102,,,,,,,,,,,,,
,9618,22714400,,,,,,,,,,,,,
,9629,22953625,,,,,,,,,,,,,
,9636,23119154,,,,,,,,,,,,,
,9656,22974208,,,,,,,,,,,,,
,9659,23028159,,,,,,,,,,,,,
,9676,23674426,,,,,,,,,,,,,
,9711,23532192,,,,,,,,,,,,,
,9715,23615678,,,,,,,,,,,,,
,9746,23414665,,,,,,,,,,,,,
,9764,23752112,,,,,,,,,,,,,
,9768,23462748,,,,,,,,,,,,,
,9770,23757406,,,,,,,,,,,,,
,9789,23879568,,,,,,,,,,,,,
,9796,23859960,,,,,,,,,,,,,
,9807,23848464,,,,,,,,,,,,,
,9814,23593293,,,,,,,,,,,,,
,9818,23590392,,,,,,,,,,,,,
,9835,23878853,,,,,,,,,,,,,
,9842,23952649,,,,,,,,,,,,,
,9845,23871534,,,,,,,,,,,,,
,9847,24108470,,,,,,,,,,,,,
,9848,23752703,,,,,,,,,,,,,
,9850,24239266,,,,,,,,,,,,,
,9854,23932819,,,,,,,,,,,,,
,9883,24005768,,,,,,,,,,,,,
,9884,24199539,,,,,,,,,,,,,
,9890,24164950,,,,,,,,,,,,,
,9930,24675580,,,,,,,,,,,,,
,9964,24498260,,,,,,,,,,,,,
,9966,24696655,,,,,,,,,,,,,
Sort 2,15,47,,,,,,,,,,,,,
,51,226,,,,,,,,,,,,,
,69,360,,,,,,,,,,,,,
,80,457,,,,,,,,,,,,,
,81,472,,,,,,,,,,,,,
,83,519,,,,,,,,,,,,,
,86,616,,,,,,,,,,,,,
,88,725,,,,,,,,,,,,,
,101,595,,,,,,,,,,,,,
,108,768,,,,,,,,,,,,,
,109,731,,,,,,,,,,,,,
,119,798,,,,,,,,,,,,,
,122,805,,,,,,,,,,,,,
,136,947,,,,,,,,,,,,,
,156,1086,,,,,,,,,,,,,
,167,1339,,,,,,,,,,,,,
,178,1355,,,,,,,,,,,,,
,190,1415,,,,,,,,,,,,,
,216,1637,,,,,,,,,,,,,
,227,1831,,,,,,,,,,,,,
,230,1831,,,,,,,,,,,,,
,279,2811,,,,,,,,,,,,,
,282,2454,,,,,,,,,,,,,
,287,2491,,,,,,,,,,,,,
,291,2732,,,,,,,,,,,,,
,294,2477,,,,,,,,,,,,,
,298,2811,,,,,,,,,,,,,
,308,2786,,,,,,,,,,,,,
,308,2815,,,,,,,,,,,,,
,317,2803,,,,,,,,,,,,,
,326,2868,,,,,,,,,,,,,
,330,3322,,,,,,,,,,,,,
,334,3312,,,,,,,,,,,,,
,336,2973,,,,,,,,,,,,,
,341,3271,,,,,,,,,,,,,
,343,3055,,,,,,,,,,,,,
,349,2934,,,,,,,,,,,,,
,360,3149,,,,,,,,,,,,,
,360,3277,,,,,,,,,,,,,
,396,3864,,,,,,,,,,,,,
,401,4174,,,,,,,,,,,,,
,407,3865,,,,,,,,,,,,,
,412,4079,,,,,,,,,,,,,
,413,3636,,,,,,,,,,,,,
,416,3927,,,,,,,,,,,,,
,417,4205,,,,,,,,,,,,,
,422,4128,,,,,,,,,,,,,
,433,4346,,,,,,,,,,,,,
,475,5077,,,,,,,,,,,,,
,493,4658,,,,,,,,,,,,,
,504,4897,,,,,,,,,,,,,
,512,5320,,,,,,,,,,,,,
,515,5532,,,,,,,,,,,,,
,531,5398,,,,,,,,,,,,,
,540,5402,,,,,,,,,,,,,
,545,5982,,,,,,,,,,,,,
,549,6463,,,,,,,,,,,,,
,581,6402,,,,,,,,,,,,,
,594,6596,,,,,,,,,,,,,
,599,6188,,,,,,,,,,,,,
,604,6890,,,,,,,,,,,,,
,649,6897,,,,,,,,,,,,,
,654,6744,,,,,,,,,,,,,
,672,7981,,,,,,,,,,,,,
,680,7872,,,,,,,,,,,,,
,705,7808,,,,,,,,,,,,,
,714,8353,,,,,,,,,,,,,
,729,8698,,,,,,,,,,,,,
,736,8882,,,,,,,,,,,,,
,757,9130,,,,,,,,,,,,,
,761,8750,,,,,,,,,,,,,
,786,9887,,,,,,,,,,,,,
,806,9139,,,,,,,,,,,,,
,811,9688,,,,,,,,,,,,,
,812,10259,,,,,,,,,,,,,
,823,10803,,,,,,,,,,,,,
,830,9496,,,,,,,,,,,,,
,852,11146,,,,,,,,,,,,,
,857,10562,,,,,,,,,,,,,
,867,10609,,,,,,,,,,,,,
,880,10940,,,,,,,,,,,,,
,893,10597,,,,,,,,,,,,,
,893,10795,,,,,,,,,,,,,
,903,10839,,,,,,,,,,,,,
,939,11500,,,,,,,,,,,,,
,960,12456,,,,,,,,,,,,,
,971,12900,,,,,,,,,,,,,
,980,12365,,,,,,,,,,,,,
,982,11779,,,,,,,,,,,,,
,982,12162,,,,,,,,,,,,,
,987,12339,,,,,,,,,,,,,
,994,12526,,,,,,,,,,,,,
,1003,13573,,,,,,,,,,,,,
,1021,14950,,,,,,,,,,,,,
,1026,13131,,,,,,,,,,,,,
,1029,13553,,,,,,,,,,,,,
,1039,13430,,,,,,,,,,,,,
,1048,14344,,,,,,,,,,,,,
,1064,14662,,,,,,,,,,,,,
,1101,14885,,,,,,,,,,,,,
,1112,14819,,,,,,,,,,,,,
,1113,16728,,,,,,,,,,,,,
,1125,17678,,,,,,,,,,,,,
,1128,15087,,,,,,,,,,,,,
,1159,15594,,,,,,,,,,,,,
,1165,16084,,,,,,,,,,,,,
,1171,16340,,,,,,,,,,,,,
,1174,16032,,,,,,,,,,,,,
,1176,16936,,,,,,,,,,,,,
,1182,17647,,,,,,,,,,,,,
,1186,15835,,,,,,,,,,,,,
,1208,18427,,,,,,,,,,,,,
,1227,19659,,,,,,,,,,,,,
,1227,19177,,,,,,,,,,,,,
,1228,16785,,,,,,,,,,,,,
,1233,18189,,,,,,,,,,,,,
,1234,17748,,,,,,,,,,,,,
,1234,18062,,,,,,,,,,,,,
,1247,18614,,,,,,,,,,,,,
,1252,17746,,,,,,,,,,,,,
,1265,17915,,,,,,,,,,,,,
,1270,18021,,,,,,,,,,,,,
,1277,18577,,,,,,,,,,,,,
,1280,19741,,,,,,,,,,,,,
,1288,18781,,,,,,,,,,,,,
,1296,18700,,,,,,,,,,,,,
,1298,18471,,,,,,,,,,,,,
,1301,18839,,,,,,,,,,,,,
,1308,19801,,,,,,,,,,,,,
,1309,18609,,,,,,,,,,,,,
,1332,20473,,,,,,,,,,,,,
,1338,19905,,,,,,,,,,,,,
,1362,19864,,,,,,,,,,,,,
,1363,21201,,,,,,,,,,,,,
,1370,20377,,,,,,,,,,,,,
,1377,19950,,,,,,,,,,,,,
,1380,20973,,,,,,,,,,,,,
,1384,20967,,,,,,,,,,,,,
,1395,19669,,,,,,,,,,,,,
,1431,24129,,,,,,,,,,,,,
,1438,21459,,,,,,,,,,,,,
,1439,22541,,,,,,,,,,,,,
,1463,23603,,,,,,,,,,,,,
,1465,23459,,,,,,,,,,,,,
,1466,22013,,,,,,,,,,,,,
,1477,22964,,,,,,,,,,,,,
,1502,23193,,,,,,,,,,,,,
,1505,25208,,,,,,,,,,,,,
,1509,23578,,,,,,,,,,,,,
,1513,26710,,,,,,,,,,,,,
,1526,23769,,,,,,,,,,,,,
,1528,23063,,,,,,,,,,,,,
,1543,24441,,,,,,,,,,,,,
,1554,26464,,,,,,,,,,,,,
,1577,25592,,,,,,,,,,,,,
,1581,27584,,,,,,,,,,,,,
,1581,25632,,,,,,,,,,,,,
,1596,26373,,,,,,,,,,,,,
,1597,24135,,,,,,,,,,,,,
,1610,26784,,,,,,,,,,,,,
,1614,24897,,,,,,,,,,,,,
,1631,26737,,,,,,,,,,,,,
,1636,27475,,,,,,,,,,,,,
,1644,26127,,,,,,,,,,,,,
,1672,27094,,,,,,,,,,,,,
,1676,29167,,,,,,,,,,,,,
,1678,27226,,,,,,,,,,,,,
,1688,27340,,,,,,,,,,,,,
,1706,28379,,,,,,,,,,,,,
,1709,29462,,,,,,,,,,,,,
,1724,28956,,,,,,,,,,,,,
,1733,29211,,,,,,,,,,,,,
,1740,31149,,,,,,,,,,,,,
,1746,30225,,,,,,,,,,,,,
,1757,28678,,,,,,,,,,,,,
,1761,30818,,,,,,,,,,,,,
,1766,30917,,,,,,,,,,,,,
,1770,29770,,,,,,,,,,,,,
,1778,29536,,,,,,,,,,,,,
,1786,31304,,,,,,,,,,,,,
,1787,30226,,,,,,,,,,,,,
,1840,29899,,,,,,,,,,,,,
,1842,35138,,,,,,,,,,,,,
,1849,32240,,,,,,,,,,,,,
,1850,32614,,,,,,,,,,,,,
,1865,33386,,,,,,,,,,,,,
,1877,31747,,,,,,,,,,,,,
,1889,33319,,,,,,,,,,,,,
,1901,32650,,,,,,,,,,,,,
,1903,33880,,,,,,,,,,,,,
,1919,32836,,,,,,,,,,,,,
,1932,34475,,,,,,,,,,,,,
,1937,36641,,,,,,,,,,,,,
,1943,34499,,,,,,,,,,,,,
,1947,33296,,,,,,,,,,,,,
,1959,34854,,,,,,,,,,,,,
,1966,37190,,,,,,,,,,,,,
,1970,36202,,,,,,,,,,,,,
,1980,35557,,,,,,,,,,,,,
,1981,35699,,,,,,,,,,,,,
,1997,35965,,,,,,,,,,,,,
,2001,37209,,,,,,,,,,,,,
,2016,36672,,,,,,,,,,,,,
,2033,37350,,,,,,,,,,,,,
,2044,37951,,,,,,,,,,,,,
,2045,38561,,,,,,,,,,,,,
,2047,37455,,,,,,,,,,,,,
,2054,40946,,,,,,,,,,,,,
,2084,38003,,,,,,,,,,,,,
,2084,37815,,,,,,,,,,,,,
,2087,38179,,,,,,,,,,,,,
,2118,40174,,,,,,,,,,,,,
,2133,41112,,,,,,,,,,,,,
,2160,44452,,,,,,,,,,,,,
,2213,45207,,,,,,,,,,,,,
,2214,41828,,,,,,,,,,,,,
,2221,42886,,,,,,,,,,,,,
,2221,42082,,,,,,,,,,,,,
,2230,42847,,,,,,,,,,,,,
,2250,48181,,,,,,,,,,,,,
,2255,43325,,,,,,,,,,,,,
,2255,43251,,,,,,,,,,,,,
,2264,44231,,,,,,,,,,,,,
,2276,43804,,,,,,,,,,,,,
,2279,45511,,,,,,,,,,,,,
,2279,43672,,,,,,,,,,,,,
,2289,45966,,,,,,,,,,,,,
,2297,43816,,,,,,,,,,,,,
,2300,46026,,,,,,,,,,,,,
,2306,45458,,,,,,,,,,,,,
,2308,47076,,,,,,,,,,,,,
,2309,46383,,,,,,,,,,,,,
,2325,46369,,,,,,,,,,,,,
,2343,46612,,,,,,,,,,,,,
,2352,46578,,,,,,,,,,,,,
,2372,46027,,,,,,,,,,,,,
,2381,48502,,,,,,,,,,,,,
,2394,51438,,,,,,,,,,,,,
,2397,47472,,,,,,,,,,,,,
,2421,52364,,,,,,,,,,,,,
,2430,50052,,,,,,,,,,,,,
,2431,48495,,,,,,,,,,,,,
,2439,46467,,,,,,,,,,,,,
,2448,48868,,,,,,,,,,,,,
,2451,49373,,,,,,,,,,,,,
,2460,52432,,,,,,,,,,,,,
,2504,55404,,,,,,,,,,,,,
,2510,53725,,,,,,,,,,,,,
,2514,51440,,,,,,,,,,,,,
,2539,53283,,,,,,,,,,,,,
,2541,54432,,,,,,,,,,,,,
,2557,53696,,,,,,,,,,,,,
,2568,52406,,,,,,,,,,,,,
,2572,54173,,,,,,,,,,,,,
,2575,55356,,,,,,,,,,,,,
,2583,54533,,,,,,,,,,,,,
,2588,53718,,,,,,,,,,,,,
,2593,56407,,,,,,,,,,,,,
,2599,56582,,,,,,,,,,,,,
,2613,56263,,,,,,,,,,,,,
,2619,60263,,,,,,,,,,,,,
,2624,55429,,,,,,,,,,,,,
,2628,53578,,,,,,,,,,,,,
,2632,55119,,,,,,,,,,,,,
,2632,59518,,,,,,,,,,,,,
,2634,57293,,,,,,,,,,,,,
,2634,55628,,,,,,,,,,,,,
,2634,56108,,,,,,,,,,,,,
,2680,56537,,,,,,,,,,,,,
,2688,57729,,,,,,,,,,,,,
,2691,56499,,,,,,,,,,,,,
,2696,58382,,,,,,,,,,,,,
,2697,59444,,,,,,,,,,,,,
,2700,58644,,,,,,,,,,,,,
,2745,60542,,,,,,,,,,,,,
,2747,59122,,,,,,,,,,,,,
,2794,60180,,,,,,,,,,,,,
,2799,60337,,,,,,,,,,,,,
,2833,62250,,,,,,,,,,,,,
,2833,65725,,,,,,,,,,,,,
,2841,62329,,,,,,,,,,,,,
,2852,66999,,,,,,,,,,,,,
,2858,62633,,,,,,,,,,,,,
,2874,63693,,,,,,,,,,,,,
,2886,65129,,,,,,,,,,,,,
,2886,65511,,,,,,,,,,,,,
,2890,66828,,,,,,,,,,,,,
,2903,64849,,,,,,,,,,,,,
,2904,63617,,,,,,,,,,,,,
,2917,65730,,,,,,,,,,,,,
,2918,65644,,,,,,,,,,,,,
,2931,65180,,,,,,,,,,,,,
,2932,66216,,,,,,,,,,,,,
,2933,68994,,,,,,,,,,,,,
,2937,72216,,,,,,,,,,,,,
,2943,65799,,,,,,,,,,,,,
,2945,64834,,,,,,,,,,,,,
,2969,67195,,,,,,,,,,,,,
,2980,67786,,,,,,,,,,,,,
,2989,70735,,,,,,,,,,,,,
,2997,68380,,,,,,,,,,,,,
,3004,68066,,,,,,,,,,,,,
,3026,70513,,,,,,,,,,,,,
,3034,71081,,,,,,,,,,,,,
,3037,70917,,,,,,,,,,,,,
,3042,70856,,,,,,,,,,,,,
,3065,72223,,,,,,,,,,,,,
,3066,74164,,,,,,,,,,,,,
,3079,74654,,,,,,,,,,,,,
,3080,72302,,,,,,,,,,,,,
,3081,71867,,,,,,,,,,,,,
,3090,73126,,,,,,,,,,,,,
,3100,70907,,,,,,,,,,,,,
,3106,75851,,,,,,,,,,,,,
,3108,72390,,,,,,,,,,,,,
,3110,71713,,,,,,,,,,,,,
,3124,74132,,,,,,,,,,,,,
,3124,75018,,,,,,,,,,,,,
,3162,72876,,,,,,,,,,,,,
,3168,74612,,,,,,,,,,,,,
,3168,76950,,,,,,,,,,,,,
,3177,73143,,,,,,,,,,,,,
,3207,77671,,,,,,,,,,,,,
,3219,77979,,,,,,,,,,,,,
,3219,79199,,,,,,,,,,,,,
,3220,74607,,,,,,,,,,,,,
,3227,77754,,,,,,,,,,,,,
,3233,81259,,,,,,,,,,,,,
,3241,81693,,,,,,,,,,,,,
,3242,77301,,,,,,,,,,,,,
,3257,80266,,,,,,,,,,,,,
,3276,76719,,,,,,,,,,,,,
,3279,82428,,,,,,,,,,,,,
,3292,81269,,,,,,,,,,,,,
,3298,80750,,,,,,,,,,,,,
,3309,83214,,,,,,,,,,,,,
,3343,82032,,,,,,,,,,,,,
,3344,83172,,,,,,,,,,,,,
,3348,83638,,,,,,,,,,,,,
,3354,82815,,,,,,,,,,,,,
