Sort 1,,,,,,,,Data Size,Average Comparisons,,,,Shell Sort,Quick Sort,Insertion Sort
,1338,445937,,,,,,,,,,,,,
,1346,456482,,,,,,,,,,,,,
,1368,468703,,,,,,,,,,,,,
,1380,469346,,,,,,,,,,,,,
,1384,479221,,,,,,,,,,,,,
,1400,485928,,,,,,,,,,,,,
,1407,496399,,,,,,,,,,,,,
,1419,480819,,,,,,,,,,,,,
,1420,498196,,,,,,,,,,,,,
,1432,519006,,,,,,,,,,,,,
,1449,516244,,,,,,,,,,,,,
,1452,522344,,,,,,,,,,,,,
,1457,520378,,,,,,,,,,,,,
,1460,521310,,,,,,,,,,,,,
,1476,531229,,,,,,,,,,,,,
,1491,551592,,,,,,,,,,,,,
,1492,561871,,,,,,,,,,,,,
,1493,543687,,,,,,,,,,,,,
,1496,558385,,,,,,,,,,,,,
,1520,562937,,,,,,,,,,,,,
,1527,579247,,,,,,,,,,,,,
,1527,585349,,,,,,,,,,,,,
,1562,603002,,,,,,,,,,,,,
,1563,610487,,,,,,,,,,,,,
,1572,629164,,,,,,,,,,,,,
,1588,615096,,,,,,,,,,,,,
,1592,627158,,,,,,,,,,,,,
,1593,626921,,,,,,,,,,,,,
,1594,619212,,,,,,,,,,,,,
,1597,621815,,,,,,,,,,,,,
,1600,640019,,,,,,,,,,,,,
,1607,633931,,,,,,,,,,,,,
,1634,665142,,,,,,,,,,,,,
,1649,674536,,,,,,,,,,,,,
,1651,654783,,,,,,,,,,,,,
,1659,673666,,,,,,,,,,,,,
,1660,666799,,,,,,,,,,,,,
,1666,691372,,,,,,,,,,,,,
,1681,712872,,,,,,,,,,,,,
,1705,727895,,,,,,,,,,,,,
,1713,715383,,,,,,,,,,,,,
,1725,739750,,,,,,,,,,,,,
,1743,760546,,,,,,,,,,,,,
,1746,769432,,,,,,,,,,,,,
,1762,760332,,,,,,,,,,,,,
,1766,774141,,,,,,,,,,,,,
,1768,771259,,,,,,,,,,,,,
,1776,785392,,,,,,,,,,,,,
,1813,815027,,,,,,,,,,,,,
,1818,826775,,,,,,,,,,,,,
,1820,803583,,,,,,,,,,,,,
,1859,868114,,,,,,,,,,,,,
,1861,863933,,,,,,,,,,,,,
,1861,848627,,,,,,,,,,,,,
,1868,872189,,,,,,,,,,,,,
,1872,864508,,,,,,,,,,,,,
,1874,858604,,,,,,,,,,,,,
,1875,877442,,,,,,,,,,,,,
,1895,896470,,,,,,,,,,,,,
,1912,917403,,,,,,,,,,,,,
,1944,915382,,,,,,,,,,,,,
,1947,952585,,,,,,,,,,,,,
,1956,968589,,,,,,,,,,,,,
,1963,949241,,,,,,,,,,,,,
,1986,980283,,,,,,,,,,,,,
,1987,974803,,,,,,,,,,,,,
,1990,971803,,,,,,,,,,,,,
,1993,995342,,,,,,,,,,,,,
,2002,983954,,,,,,,,,,,,,
,2019,985851,,,,,,,,,,,,,
,2037,995477,,,,,,,,,,,,,
,2055,1038414,,,,,,,,,,,,,
,2063,1035823,,,,,,,,,,,,,
,2082,1072598,,,,,,,,,,,,,
,2088,1068627,,,,,,,,,,,,,
,2103,1102140,,,,,,,,,,,,,
,2106,1089573,,,,,,,,,,,,,
,2125,1120980,,,,,,,,,,,,,
,2130,1100461,,,,,,,,,,,,,
,2132,1158219,,,,,,,,,,,,,
,2147,1115768,,,,,,,,,,,,,
,2148,1159347,,,,,,,,,,,,,
,2154,1164928,,,,,,,,,,,,,
,2163,1182363,,,,,,,,,,,,,
,2173,1167111,,,,,,,,,,,,,
,2182,1200427,,,,,,,,,,,,,
,2187,1215607,,,,,,,,,,,,,
,2206,1185035,,,,,,,,,,,,,
,2207,1217704,,,,,,,,,,,,,
,2207,1191102,,,,,,,,,,,,,
,2208,1203628,,,,,,,,,,,,,
,2214,1211142,,,,,,,,,,,,,
,2237,1227904,,,,,,,,,,,,,
,2240,1239189,,,,,,,,,,,,,
,2240,1207604,,,,,,,,,,,,,
,2254,1238522,,,,,,,,,,,,,
,2259,1260764,,,,,,,,,,,,,
,2289,1275440,,,,,,,,,,,,,
,2297,1280398,,,,,,,,,,,,,
,2300,1286787,,,,,,,,,,,,,
,2308,1293411,,,,,,,,,,,,,
,2310,1280050,,,,,,,,,,,,,
,2347,1362467,,,,,,,,,,,,,
,2358,1386143,,,,,,,,,,,,,
,2372,1372547,,,,,,,,,,,,,
,2402,1434625,,,,,,,,,,,,,
,2404,1416812,,,,,,,,,,,,,
,2406,1473977,,,,,,,,,,,,,
,2409,1419307,,,,,,,,,,,,,
,2417,1425672,,,,,,,,,,,,,
,2424,1475445,,,,,,,,,,,,,
,2455,1457444,,,,,,,,,,,,,
,2458,1535564,,,,,,,,,,,,,
,2468,1491855,,,,,,,,,,,,,
,2486,1548756,,,,,,,,,,,,,
,2490,1515576,,,,,,,,,,,,,
,2494,1557658,,,,,,,,,,,,,
,2517,1568217,,,,,,,,,,,,,
,2519,1615619,,,,,,,,,,,,,
,2534,1595348,,,,,,,,,,,,,
,2540,1626535,,,,,,,,,,,,,
,2547,1620250,,,,,,,,,,,,,
,2568,1618806,,,,,,,,,,,,,
,2575,1625873,,,,,,,,,,,,,
,2578,1603239,,,,,,,,,,,,,
,2579,1658269,,,,,,,,,,,,,
,2585,1657220,,,,,,,,,,,,,
,2585,1642078,,,,,,,,,,,,,
,2587,1624633,,,,,,,,,,,,,
,2590,1635794,,,,,,,,,,,,,
,2613,1672181,,,,,,,,,,,,,
,2614,1684580,,,,,,,,,,,,,
,2628,1716692,,,,,,,,,,,,,
,2649,1716217,,,,,,,,,,,,,
,2656,1759586,,,,,,,,,,,,,
,2670,1750917,,,,,,,,,,,,,
,2683,1768856,,,,,,,,,,,,,
,2683,1798839,,,,,,,,,,,,,
,2684,1813526,,,,,,,,,,,,,
,2717,1862846,,,,,,,,,,,,,
,2737,1887244,,,,,,,,,,,,,
,2746,1860475,,,,,,,,,,,,,
,2746,1856275,,,,,,,,,,,,,
,2769,1911452,,,,,,,,,,,,,
,2775,1942942,,,,,,,,,,,,,
,2792,1908501,,,,,,,,,,,,,
,2819,1998039,,,,,,,,,,,,,
,2831,2020354,,,,,,,,,,,,,
,2834,1975185,,,,,,,,,,,,,
,2856,2037189,,,,,,,,,,,,,
,2865,2022594,,,,,,,,,,,,,
,2865,2022514,,,,,,,,,,,,,
,2891,2043204,,,,,,,,,,,,,
,2901,2090714,,,,,,,,,,,,,
,2901,2124649,,,,,,,,,,,,,
,2909,2077588,,,,,,,,,,,,,
,2912,2110819,,,,,,,,,,,,,
,2923,2123748,,,,,,,,,,,,,
,2932,2137166,,,,,,,,,,,,,
,2953,2169484,,,,,,,,,,,,,
,2988,2182157,,,,,,,,,,,,,
,3003,2210308,,,,,,,,,,,,,
,3009,2187704,,,,,,,,,,,,,
,3038,2377006,,,,,,,,,,,,,
,3052,2345342,,,,,,,,,,,,,
,3063,2307078,,,,,,,,,,,,,
,3078,2363114,,,,,,,,,,,,,
,3081,2405807,,,,,,,,,,,,,
,3085,2369619,,,,,,,,,,,,,
,3087,2266503,,,,,,,,,,,,,
,3089,2357921,,,,,,,,,,,,,
,3118,2398417,,,,,,,,,,,,,
,3137,2413898,,,,,,,,,,,,,
,3150,2512066,,,,,,,,,,,,,
,3150,2452789,,,,,,,,,,,,,
,3168,2492834,,,,,,,,,,,,,
,3169,2578821,,,,,,,,,,,,,
,3173,2495518,,,,,,,,,,,,,
